review_id,community_id,review_date,month_start,rating,has_response
GR466987,C001,2025-01-07,2025-01-01,3,false
GR213202,C001,2025-01-10,2025-01-01,4,true
GR387689,C001,2025-01-21,2025-01-01,5,true
GR463069,C002,2025-01-26,2025-01-01,4,true
GR866194,C002,2025-01-02,2025-01-01,4,false
GR778754,C003,2025-01-14,2025-01-01,5,false
GR600660,C003,2025-01-04,2025-01-01,5,false
GR251436,C003,2025-01-17,2025-01-01,4,false
GR986304,C003,2025-01-10,2025-01-01,4,false
GR952917,C003,2025-01-14,2025-01-01,4,false
GR542881,C004,2025-01-15,2025-01-01,5,false
GR392719,C004,2025-01-14,2025-01-01,5,true
GR176703,C004,2025-01-22,2025-01-01,5,false
GR954161,C004,2025-01-14,2025-01-01,3,true
GR122962,C004,2025-01-08,2025-01-01,5,false
GR581345,C004,2025-01-24,2025-01-01,3,true
GR151748,C004,2025-01-05,2025-01-01,5,true
GR269276,C005,2025-01-28,2025-01-01,3,true
GR298054,C005,2025-01-26,2025-01-01,5,false
GR440527,C005,2025-01-06,2025-01-01,5,false
GR422709,C005,2025-01-26,2025-01-01,4,true
GR807320,C005,2025-01-05,2025-01-01,5,false
GR749425,C005,2025-01-07,2025-01-01,4,true
GR828082,C005,2025-01-14,2025-01-01,5,false
GR722401,C005,2025-01-19,2025-01-01,4,true
GR682145,C006,2025-01-17,2025-01-01,4,false
GR152215,C006,2025-01-09,2025-01-01,5,false
GR220623,C006,2025-01-15,2025-01-01,3,false
GR208900,C006,2025-01-19,2025-01-01,5,false
GR150119,C006,2025-01-26,2025-01-01,5,false
GR980315,C006,2025-01-26,2025-01-01,1,false
GR896908,C006,2025-01-18,2025-01-01,4,true
GR292112,C006,2025-01-22,2025-01-01,4,true
GR903084,C007,2025-01-13,2025-01-01,3,true
GR563426,C007,2025-01-04,2025-01-01,5,true
GR103342,C007,2025-01-13,2025-01-01,2,true
GR575218,C008,2025-01-10,2025-01-01,5,true
GR606405,C008,2025-01-02,2025-01-01,4,true
GR120766,C008,2025-01-26,2025-01-01,4,true
GR998401,C009,2025-01-11,2025-01-01,5,false
GR279503,C009,2025-01-12,2025-01-01,5,false
GR154743,C009,2025-01-02,2025-01-01,5,false
GR769352,C009,2025-01-22,2025-01-01,4,true
GR299600,C009,2025-01-23,2025-01-01,5,false
GR990516,C009,2025-01-05,2025-01-01,2,false
GR721125,C009,2025-01-28,2025-01-01,4,true
GR663485,C010,2025-01-07,2025-01-01,4,false
GR769660,C010,2025-01-10,2025-01-01,5,false
GR660381,C010,2025-01-26,2025-01-01,5,false
GR611892,C010,2025-01-04,2025-01-01,5,true
GR859846,C011,2025-01-24,2025-01-01,5,true
GR350599,C011,2025-01-07,2025-01-01,5,false
GR285153,C011,2025-01-15,2025-01-01,5,false
GR686353,C011,2025-01-24,2025-01-01,5,false
GR227622,C012,2025-01-04,2025-01-01,3,true
GR214680,C012,2025-01-04,2025-01-01,5,false
GR453348,C012,2025-01-09,2025-01-01,3,false
GR489662,C012,2025-01-02,2025-01-01,4,true
GR165397,C012,2025-01-14,2025-01-01,3,true
GR225780,C012,2025-01-26,2025-01-01,3,false
GR552910,C012,2025-01-03,2025-01-01,5,false
GR713190,C013,2025-01-17,2025-01-01,3,false
GR616298,C013,2025-01-24,2025-01-01,3,false
GR258457,C013,2025-01-25,2025-01-01,1,false
GR857304,C013,2025-01-05,2025-01-01,4,true
GR971740,C013,2025-01-04,2025-01-01,1,false
GR144918,C013,2025-01-21,2025-01-01,3,true
GR276655,C013,2025-01-18,2025-01-01,4,false
GR240105,C013,2025-01-08,2025-01-01,5,false
GR581479,C014,2025-01-27,2025-01-01,4,false
GR524531,C014,2025-01-04,2025-01-01,2,false
GR204577,C014,2025-01-08,2025-01-01,1,true
GR188918,C014,2025-01-02,2025-01-01,4,false
GR157521,C001,2025-02-01,2025-02-01,3,true
GR429785,C001,2025-02-23,2025-02-01,5,true
GR624308,C001,2025-02-03,2025-02-01,1,true
GR918950,C001,2025-02-04,2025-02-01,4,false
GR185874,C001,2025-02-09,2025-02-01,4,false
GR358924,C001,2025-02-10,2025-02-01,2,true
GR361753,C002,2025-02-23,2025-02-01,3,true
GR193162,C002,2025-02-03,2025-02-01,5,false
GR504941,C002,2025-02-04,2025-02-01,4,true
GR625355,C002,2025-02-22,2025-02-01,4,false
GR857807,C002,2025-02-22,2025-02-01,5,true
GR500786,C003,2025-02-16,2025-02-01,1,true
GR762734,C003,2025-02-23,2025-02-01,4,true
GR428823,C003,2025-02-10,2025-02-01,5,false
GR446143,C003,2025-02-22,2025-02-01,4,true
GR268205,C003,2025-02-01,2025-02-01,4,false
GR835835,C004,2025-02-28,2025-02-01,1,false
GR188442,C004,2025-02-23,2025-02-01,5,true
GR779335,C004,2025-02-21,2025-02-01,5,true
GR207930,C004,2025-02-17,2025-02-01,5,false
GR194329,C004,2025-02-18,2025-02-01,5,true
GR819181,C005,2025-02-16,2025-02-01,2,true
GR649156,C005,2025-02-03,2025-02-01,5,true
GR629448,C005,2025-02-12,2025-02-01,5,false
GR436106,C005,2025-02-20,2025-02-01,5,true
GR741092,C005,2025-02-26,2025-02-01,4,false
GR820957,C005,2025-02-13,2025-02-01,5,true
GR696718,C006,2025-02-01,2025-02-01,4,true
GR513023,C006,2025-02-15,2025-02-01,5,true
GR871203,C006,2025-02-13,2025-02-01,5,false
GR138091,C006,2025-02-21,2025-02-01,3,true
GR289374,C006,2025-02-09,2025-02-01,5,false
GR271637,C007,2025-02-03,2025-02-01,4,false
GR434167,C007,2025-02-19,2025-02-01,5,false
GR509969,C008,2025-02-25,2025-02-01,5,true
GR965583,C008,2025-02-07,2025-02-01,5,true
GR684373,C008,2025-02-04,2025-02-01,5,false
GR313201,C009,2025-02-16,2025-02-01,2,true
GR802872,C009,2025-02-15,2025-02-01,5,false
GR137525,C009,2025-02-07,2025-02-01,5,false
GR728489,C010,2025-02-27,2025-02-01,5,false
GR450606,C010,2025-02-08,2025-02-01,1,true
GR746845,C010,2025-02-09,2025-02-01,2,true
GR937225,C010,2025-02-13,2025-02-01,1,false
GR406378,C010,2025-02-27,2025-02-01,3,false
GR344434,C011,2025-02-10,2025-02-01,5,true
GR333939,C011,2025-02-15,2025-02-01,4,false
GR863071,C011,2025-02-18,2025-02-01,4,true
GR593352,C011,2025-02-06,2025-02-01,5,true
GR699942,C011,2025-02-15,2025-02-01,5,false
GR403351,C012,2025-02-27,2025-02-01,3,true
GR659842,C012,2025-02-18,2025-02-01,2,true
GR441682,C013,2025-02-02,2025-02-01,5,false
GR149419,C013,2025-02-24,2025-02-01,5,false
GR978251,C013,2025-02-26,2025-02-01,3,true
GR922995,C013,2025-02-03,2025-02-01,5,false
GR280693,C014,2025-02-16,2025-02-01,4,false
GR174817,C014,2025-02-14,2025-02-01,3,true
GR773897,C014,2025-02-17,2025-02-01,4,true
GR515000,C014,2025-02-18,2025-02-01,4,false
GR607871,C014,2025-02-10,2025-02-01,5,true
GR303172,C001,2025-03-24,2025-03-01,5,false
GR584996,C001,2025-03-04,2025-03-01,3,true
GR821649,C001,2025-03-27,2025-03-01,4,true
GR684552,C001,2025-03-23,2025-03-01,5,false
GR646351,C001,2025-03-07,2025-03-01,5,false
GR227875,C002,2025-03-17,2025-03-01,1,false
GR750775,C002,2025-03-12,2025-03-01,5,true
GR509426,C002,2025-03-15,2025-03-01,3,true
GR787284,C002,2025-03-24,2025-03-01,3,true
GR885301,C002,2025-03-25,2025-03-01,4,false
GR400390,C002,2025-03-09,2025-03-01,4,false
GR484702,C002,2025-03-14,2025-03-01,3,true
GR723223,C003,2025-03-16,2025-03-01,5,true
GR875479,C003,2025-03-18,2025-03-01,5,true
GR232038,C003,2025-03-06,2025-03-01,4,true
GR859087,C003,2025-03-04,2025-03-01,5,true
GR285980,C003,2025-03-10,2025-03-01,4,false
GR492181,C004,2025-03-08,2025-03-01,4,false
GR828076,C004,2025-03-25,2025-03-01,5,false
GR428013,C004,2025-03-09,2025-03-01,5,true
GR702764,C004,2025-03-21,2025-03-01,5,false
GR468574,C004,2025-03-05,2025-03-01,4,false
GR170592,C004,2025-03-17,2025-03-01,4,true
GR774869,C004,2025-03-25,2025-03-01,4,true
GR965415,C004,2025-03-22,2025-03-01,3,false
GR823649,C005,2025-03-11,2025-03-01,4,false
GR393009,C005,2025-03-07,2025-03-01,4,false
GR449023,C006,2025-03-22,2025-03-01,5,true
GR640169,C006,2025-03-24,2025-03-01,5,true
GR623978,C006,2025-03-10,2025-03-01,5,false
GR133282,C006,2025-03-23,2025-03-01,4,true
GR833075,C007,2025-03-23,2025-03-01,4,false
GR932842,C007,2025-03-14,2025-03-01,4,true
GR205288,C008,2025-03-04,2025-03-01,4,true
GR799122,C008,2025-03-16,2025-03-01,5,true
GR154764,C008,2025-03-14,2025-03-01,5,false
GR713772,C008,2025-03-25,2025-03-01,4,false
GR211285,C008,2025-03-25,2025-03-01,5,false
GR414951,C008,2025-03-04,2025-03-01,2,false
GR853164,C008,2025-03-05,2025-03-01,4,true
GR975056,C009,2025-03-26,2025-03-01,4,true
GR575779,C009,2025-03-02,2025-03-01,5,false
GR214695,C009,2025-03-21,2025-03-01,4,true
GR584940,C009,2025-03-12,2025-03-01,4,true
GR305308,C010,2025-03-13,2025-03-01,5,true
GR712401,C010,2025-03-14,2025-03-01,4,false
GR737892,C010,2025-03-24,2025-03-01,5,true
GR386351,C010,2025-03-20,2025-03-01,4,true
GR330986,C010,2025-03-20,2025-03-01,4,false
GR776903,C010,2025-03-15,2025-03-01,1,true
GR125035,C010,2025-03-20,2025-03-01,4,true
GR773387,C011,2025-03-28,2025-03-01,4,true
GR664555,C011,2025-03-14,2025-03-01,4,false
GR346448,C011,2025-03-25,2025-03-01,5,true
GR204475,C011,2025-03-14,2025-03-01,5,false
GR728209,C012,2025-03-17,2025-03-01,1,true
GR628968,C012,2025-03-20,2025-03-01,5,false
GR798682,C012,2025-03-05,2025-03-01,4,false
GR203365,C012,2025-03-16,2025-03-01,4,true
GR906332,C013,2025-03-27,2025-03-01,1,true
GR407647,C013,2025-03-03,2025-03-01,4,true
GR544027,C013,2025-03-18,2025-03-01,5,false
GR741061,C014,2025-03-28,2025-03-01,5,true
GR948936,C014,2025-03-09,2025-03-01,4,true
GR700747,C014,2025-03-04,2025-03-01,5,false
GR567062,C014,2025-03-02,2025-03-01,2,true
GR131131,C001,2025-04-17,2025-04-01,5,true
GR693951,C001,2025-04-22,2025-04-01,5,false
GR312777,C002,2025-04-25,2025-04-01,4,true
GR867519,C002,2025-04-05,2025-04-01,5,true
GR526414,C003,2025-04-07,2025-04-01,2,true
GR121398,C003,2025-04-15,2025-04-01,4,false
GR305164,C003,2025-04-15,2025-04-01,2,true
GR874559,C003,2025-04-13,2025-04-01,5,false
GR173901,C003,2025-04-12,2025-04-01,5,false
GR688419,C003,2025-04-02,2025-04-01,1,false
GR217266,C003,2025-04-21,2025-04-01,5,true
GR989405,C003,2025-04-08,2025-04-01,5,true
GR830095,C004,2025-04-03,2025-04-01,5,true
GR842989,C004,2025-04-28,2025-04-01,5,false
GR374370,C004,2025-04-02,2025-04-01,5,false
GR681783,C004,2025-04-15,2025-04-01,3,true
GR271703,C004,2025-04-23,2025-04-01,2,false
GR869674,C004,2025-04-08,2025-04-01,4,true
GR456351,C005,2025-04-02,2025-04-01,5,true
GR797782,C005,2025-04-26,2025-04-01,5,false
GR693529,C005,2025-04-27,2025-04-01,2,true
GR977491,C006,2025-04-11,2025-04-01,5,true
GR366097,C006,2025-04-19,2025-04-01,3,true
GR633687,C006,2025-04-04,2025-04-01,5,false
GR831543,C007,2025-04-27,2025-04-01,2,true
GR930126,C007,2025-04-20,2025-04-01,4,false
GR943577,C007,2025-04-04,2025-04-01,5,true
GR903538,C007,2025-04-08,2025-04-01,5,false
GR661999,C007,2025-04-14,2025-04-01,3,true
GR564816,C007,2025-04-16,2025-04-01,5,true
GR926196,C008,2025-04-24,2025-04-01,2,true
GR114815,C008,2025-04-26,2025-04-01,3,true
GR609296,C009,2025-04-09,2025-04-01,3,true
GR392713,C009,2025-04-02,2025-04-01,3,false
GR448859,C010,2025-04-07,2025-04-01,5,false
GR977224,C010,2025-04-04,2025-04-01,4,true
GR411687,C010,2025-04-06,2025-04-01,5,true
GR657397,C010,2025-04-27,2025-04-01,5,false
GR677257,C010,2025-04-15,2025-04-01,4,false
GR522298,C010,2025-04-12,2025-04-01,4,true
GR577434,C011,2025-04-21,2025-04-01,1,true
GR315935,C011,2025-04-25,2025-04-01,1,true
GR358322,C011,2025-04-04,2025-04-01,4,false
GR623685,C011,2025-04-04,2025-04-01,3,true
GR994709,C012,2025-04-15,2025-04-01,5,true
